投稿日,曲名,ニコニコ,YouTube,出演者,イラスト,本家様,本家制作,今見れる？,備考
2010/06/06,ドS機能,nico.ms/sm10973870,－,うらた（沖田総悟）,－,nico.ms/sm10244728,ゴジマジP,‪✕‬,本家フルは nico.ms/sm12276096 だが投稿はショートver.なので本家にはそちらを記載
2010/07/01,ワールズエンド・ダンスホール,nico.ms/sm11244064,－,うらた,－,nico.ms/sm10759623,wowaka,‪✕‬,再up
2010/07/05,smiling,nico.ms/sm11291662,－,96猫 （ちゃコ・mmm・ゆきまる・456・はまみ・いのっち・あげは・うらた・ゆきさき・恭一郎・高菜いよ・攻・新汰・うらら・ぴの・おっさん・かぐらってぃ・DC・こなコナ・少年T・ルビー） あほの坂田（友情出演）,－,nico.ms/sm9078182,halyosy,‪✕‬,メインは96猫さん
2010/07/28,ぺろぺろ,nico.ms/sm11549808,－,うらた・センラ（裏千家）,－,nico.ms/sm11486971,はみ,‪✕‬,
2010/07/29,モザイクロール,nico.ms/sm11560487,－,うらた,－,nico.ms/sm11398357,DECO*27,‪✕‬,
2010/08/02,撲殺天使ソウゴちゃん,nico.ms/sm11608614,－,うらた,－,nico.ms/sm2291921,かば,‪✕‬,替え歌。再up
2010/08/11,ミツバチ,nico.ms/sm11708480,－,うらた,－,https://youtu.be/UjE91WVbVt4?si=UANB7OvIPfz2q0Vm,遊助,‪✕‬,
2010/08/28,Fire◎Flower,nico.ms/sm11915127,－,うらた,－,nico.ms/sm4153727,halyosy,‪✕‬,
2010/09/03,女々しくて,nico.ms/sm11974417,－,うらた,－,https://youtu.be/BC9P3DSZu0A?si=Ufcu40wQ1j34EfQV,ゴールデンボンバー,‪✕‬,
2010/09/29,甲斐に帰るといつもお館さまと殴り愛します。,nico.ms/sm12265600,－,うらた（真田幸村）,－,nico.ms/sm11480547,ほぼ日P,‪✕‬,替え歌・声真似
2010/10/05,なでなで,nico.ms/sm12334887,－,うらた,－,nico.ms/sm12169079,はみ,‪✕‬,
2010/10/09,やきそば先進国 パン買ってこいよ〜,nico.ms/sm12369745,－,うらた（沖田総悟）,－,nico.ms/sm6318536,たまき,‪✕‬,声真似
2010/10/13,恋は戦争,nico.ms/sm12415246,－,うらた,－,nico.ms/sm2397344,ryo,‪✕‬,
2010/10/23,サドリョシカ,nico.ms/sm12521653,－,うらた（沖田総悟）,－,nico.ms/sm11809611,ハチ,‪✕‬,替え歌・声真似
2010/11/01,0821,nico.ms/sm12617194,－,うらた,－,nico.ms/sm8430328,藤堂夜宵,‪✕‬,替え歌
2010/11/20,ローリンガール,nico.ms/sm12806086,－,うらた,－,nico.ms/sm9714351,wowaka,‪✕‬,ギターロックver.
2010/12/12,ふわふわ時間,nico.ms/sm13010412,－,うらた,－,youtu.be/I0xRbWqIohQ?si=p-53TJ41BVJo5C-2,放課後ティータイム,‪✕‬,
2010/12/12,カッコカワイイ宣言！のアレ,nico.ms/sm13003876,－,うらた,－,不明,不明,‪✕‬,アレってなんですか！有識者！
2011/01/06,カンタレラ,nico.ms/sm13232449,－,うらた,－,nico.ms/sm2366125,黒うさ,‪✕‬,
2011/01/15,リスキーゲーム,nico.ms/sm13314724,－,うらた,－,nico.ms/sm13236011,黒うさ,‪✕‬,
2011/01/27,ハッピーセットのCMのやつ歌ってみたような気がする感じのアレ,nico.ms/sm13420510,－,うらた,－,不明,不明,‪✕‬,どれ。
2011.02/22,モザイクロール,nico.ms/sm13679510,－,うらた,－,nico.ms/sm11398357,DECO*27,‪✕‬,リベンジ
2011.02/17,創聖のコビリオン,nico.ms/sm13626132,－,いのっち・うらた（SpecialThanks）,－,youtu.be/PuR3AtWe_rE?si=ZredDCIgtWxxA_wO,創聖のアクエリオン,〇,メインはいのっち
2011.02/27,SPICE!,nico.ms/sm13720429,－,うらた,－,nico.ms/sm2528674,黒うさ,‪✕‬,
2011/03/08,この木 なんの木 木ィィィ原くゥゥゥゥゥゥゥゥン!!,nico.ms/sm13814477,－,うらた,－,nico.ms/sm13738938,不明,‪✕‬,あってる…？え？これ合ってるの……？何もわからん全部消えてる。替え歌…なんですか？再うpって書いてある。知らん。
2011/03/19,アイラビューアイニジュー,nico.ms/sm13896632,－,うらた,－,nico.ms/sm13206236,ハヤシケイ/KEI,‪✕‬,
2011/03/23,アクセラレータのパーフェクトさんした教室,nico.ms/sm13933439,－,うらた,－,nico.ms/sm13888279,大木戸,‪✕‬,
2011/03/26,ドSの魔法,nico.ms/sm13971567,－,うらた（沖田総悟）,－,不明,不明,‪✕‬,ACジャパンのCMの“あいさつの魔法”の替え歌だと思われる。声真似
2011/04/04,ゆきゆきにしてやろう♪,nico.ms/sm14064049,－,うらた（真田幸村）,－,不明,不明,‪✕‬,タイトルから思うに“みくみくにしてあげる♪”の替え歌。声真似
2011/04/15,Badbye,nico.ms/sm14164118,－,うらた,－,nico.ms/sm13560654,koma´n,‪✕‬,
2011/04/22,キリトリセン,nico.ms/sm14229448,－,うらた,－,nico.ms/sm13715524,40mP,‪✕‬,
2011/05/01,迷子ライフ,nico.ms/sm14319755,－,うらた,－,nico.ms/sm9604972,西沢さんP,‪✕‬,
2011/05/13,orange,nico.ms/sm14441481,－,うらた,－,nico.ms/sm13926857,少年T,‪✕‬,
