投稿日,曲名,ニコニコ,YouTube,出演者,イラスト,本家様,本家制作,今見れる？,備考
2014/05/10,夜もすがら君想ふ,nico.ms/sm23522472,－,うらたぬき,－,nico.ms/sm23189603,西沢さんP,〇,
2014/05/17,イノコリ先生,nico.ms/sm23574546,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm23348919,HoneyWorks,〇,
2014/05/24,＋♂,nico.ms/sm23626740,－,うらたぬき,－,nico.ms/sm23134050,ギガ,〇,
2014/06/10,とびら開けて,nico.ms/sm23752027,－,うらたぬき・あほの坂田（うらさか）,－,youtu.be/I2zZkpJ30TM?si=626lhJ30tQhLPUI8,アナと雪の女王,〇,
2014/06/28,初恋の絵本 -another story- Arrange ver.,nico.ms/sm23882486,－,うらたぬき,－,nico.ms/sm16205143,HoneyWorks,〇,
2014/07/04,金曜日のおはよう,nico.ms/sm23925032,－,うらたぬき,－,nico.ms/sm23910729,HoneyWorks,〇,
2014/07/07,ホシアイ,nico.ms/sm23949682,－,うらたぬき,－,nico.ms/sm18164676,レフティーモンスター,〇,
2014/07/30,世界は恋に落ちている,nico.ms/sm24122635,－,うらたぬき,－,nico.ms/sm24085307,HoneyWorks,〇,
2014/08/09,夢花火,nico.ms/sm24191065,－,うらたぬき,－,nico.ms/sm21489609,まふまふ（鏡見て失神P）,〇,
2014/08/27,ようかい体操第一,nico.ms/sm24333917,－,うらたぬき・センラ（裏千家）,－,youtu.be/ktcKUrIW2iw?si=qzXXwvFa6VlmH8ll,妖怪ウォッチ,〇,
2014/09/05,夏は短し恋せよ男子,nico.ms/sm24403607,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm24047732,コニー,〇,
2014/09/22,ツギハギスタッカート,nico.ms/sm24527533,youtu.be/2fb_vFbf85g?si=m7hzCIxuNNVPu0EI,うらたぬき,－,nico.ms/sm23762151,とあ,〇,
2014/10/04,アスノヨゾラ哨戒班,nico.ms/sm24614591,youtu.be/Vi20SkaSWK0?si=VZDpdGH_KdX00s8O,うらたぬき,－,nico.ms/sm24276234,Orangestar,〇,
2014/10/07,戯曲とデフォルメ都市,nico.ms/sm24639535,youtu.be/bXikunUtyHs?si=Tp-u6wujPaJtdtop,うらたぬき,－,nico.ms/sm24623249,まふまふ（鏡見て失神P）,〇,
2014/10/18,夕暮れ蝉日記,nico.ms/sm24713949,－,うらたぬき,－,nico.ms/sm18897678,まふまふ（鏡見て失神P）,〇,
2014/10/21,さよなら両片想,nico.ms/sm24740977,－,うらたぬき,－,nico.ms/sm24736617,HoneyWorks,〇,
2014/11/04,恋愛裁判,nico.ms/sm24843441,youtu.be/Y5OwwA73LRM?si=oGCvuG1-JSRLobr3,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm23750267,40mP,〇,
2014/11/28,ミュージックミュージック,nico.ms/sm25008556,－,うらたぬき,－,nico.ms/sm24333080,とあ,〇,
2014/12/24,今好きになる。,nico.ms/sm25193651,－,うらたぬき,－,nico.ms/sm24990461,HoneyWorks,〇,
2014/12/26,感情泥棒,nico.ms/sm25211120,－,うらたぬき,たま,nico.ms/sm25182507,40mP,〇,
2015/01/10,ショパンと氷の白鍵,nico.ms/sm25318051,－,うらたぬき,－,nico.ms/sm25308401,まふまふ（鏡見て失神P）,〇,あほの坂田1stアルバム「キミと歩んだ坂道」書き下ろし曲
2015/01/14,あったかいんだからぁ♪,nico.ms/sm25348399,youtu.be/RT3lo3gkJo4?si=EuiDC3EWNgWIcISe,うらたぬき・あほの坂田（うらさか）,－,youtu.be/J_KCtPxq_u4?si=4ZvIqdPg-Tt71hf6,クマムシ,〇,
2015/01/17,厨病激発ボーイ,nico.ms/sm25369040,youtu.be/x4AAqpAF6v4?si=L11nxt7rjr7t7xVk,うらたぬき・あほの坂田・A24,－,nico.ms/sm25223315,れるりり,〇,
2015/01/30,このふざけた素晴らしき世界は、僕の為にある,nico.ms/sm25457334,youtu.be/_1_Ti65WfG8?si=tOJexpJv_U-LeTxB,うらたぬき,－,nico.ms/sm25379507,n.k/ガラクト,〇,
2015/02/06,アイのシナリオ,nico.ms/sm25506696,－,うらたぬき,－,nico.ms/sm25402016,HoneyWorks,〇,友情出演：あほの坂田
2015/02/16,Monster,nico.ms/sm25585540,－,うらたぬき・あほの坂田・コゲ犬・らん鹿・らむだーじゃん（裏坂犬羊乱）,－,youtu.be/JedKBJVHhiE?si=tW8nReZSF4KJVMvc,嵐,〇,
2015/02/27,だんだん早くなる,nico.ms/sm25672717,youtu.be/jvKVLGv7KUU?si=eCucsElFprAHGtqz,うらたぬき,－,nico.ms/sm25658559,40mP,〇,
2015/02/28,Dragon Night,nico.ms/sm25683037,https://youtu.be/0ygbFyfibm4?si=ZLM_VXnGbYpHjchy,うらたぬき・あほの坂田（うらさか）,－,youtu.be/UcoFyrlQev0?si=5r35isO7sFTdiSyu,SEKAI NO OWARI,〇,
2015/03/27,病名恋ワズライ-Last Note.Arrange-,nico.ms/sm25884182,－,うらたぬき,－,nico.ms/sm22474644,HoneyWorks,〇,あほの坂田1stアルバム「キミと歩んだ坂道」収録のアレンジ
2015/03/31,シルエット,nico.ms/sm25921401,https://youtu.be/xxRaJdjG6Ko?si=lQZDFgJzk2vASh_Z,うらたぬき・あほの坂田（うらさか）,－,youtu.be/ZFoJYI7Q4iA?si=utwywIDt5-A33xh4,KANA-BOON,〇,
2015/04/17,さよならだけが人生だ,nico.ms/sm26048771,－,うらたぬき,－,nico.ms/sm25466139,伊東歌詞太郎,〇,
2015/05/15,言葉のいらない約束,nico.ms/sm26262664,－,うらたぬき,－,nico.ms/sm26253754,HoneyWorks,〇,
2015/05/22,絶対創造フューチャー,nico.ms/sm26309526,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm26307842,n.k/ガラクト,〇,
2015/05/23,ハートの後味,nico.ms/sm26320160,－,うらたぬき,－,nico.ms/sm26310950,まふまふ（鏡見て失神P）,〇,うらたぬきボイスドラマCP「僕の青春日記」提供曲
2015/06/27,暁月夜-アカツキヅクヨ-,nico.ms/sm26581821,－,うらたぬき,ろこる,nico.so/26405782,HoneyWorks,〇,
2015/07/11,イジワルな出会い,nico.ms/sm26683812,－,うらたぬき,－,nico.ms/sm26624229,HoneyWorks,〇,
2015/08/09,プライド革命,nico.ms/sm26882829,－,うらたぬき,－,nico.ms/sm26809264,HoneyWorks,〇,友情出演：あほの坂田
2015/10/10,キミノヨゾラ哨戒班,nico.ms/sm27341557,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm26969103,Orangestar,〇,
2015/10/17,鏡花水月,nico.ms/sm27391928,－,うらたぬき,－,nico.ms/sm27132601,まふまふ（鏡見て失神P）,〇,
2015/10/31,ホーリーフラッグ,nico.ms/sm27491354,－,うらたぬき,－,nico.ms/sm27477249,HoneyWorks,〇,
2015/12/24,ベリーメリークリスマス,nico.ms/sm27862020,－,うらたぬき,茶々ごま,nico.ms/sm27811704,天月-あまつき-,〇,
2015/12/28,Dreamer,nico.ms/sm27891661,https://youtu.be/igF6viIeQGc?si=VzakH562A_kO4Cc5,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,作詞：浦島坂田船 作曲：Sum,〇,浦島坂田船アルバム「CRUISE TICKET」収録曲
2016/01/22,コンテニュー,nico.ms/sm28059103,－,うらたぬき・あほの坂田（うらさか）,月森フユカ,オリジナル曲,まふまふ,〇,うらさか日和。より（音源は別）
2016/02/05,ゴーストルール,nico.ms/sm28153051,https://youtu.be/7USBU-i1h2Q?si=y37UE5Nvq6hbelti,うらたぬき,－,nico.ms/sm27965309,DECO*27,〇,
2016/02/12,Shoutër,nico.ms/sm28203758,https://youtu.be/5SqVq_oOrBI?si=kVbiUcJTimhyziUA,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,halyosy,〇,浦島坂田船アルバム「CRUISE TICKET」収録曲
2016/02/13,脳内革命ガール,nico.ms/sm28206667,https://youtu.be/-SHXQ7hz9Cw?si=sVfhAzjSCvDg4H_J,うらたぬき・あほの坂田・詩人（うらさか詩人）,－,nico.ms/sm21870906,MARETU,〇,
2016/03/01,誰も知らないハッピーエンド,nico.ms/sm28331779,https://youtu.be/oar899MYBBE?si=Y8uzX7zMi-wYB0Ml,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm28294159,40mP,〇,
2016/03/26,咲かせよ乙女、喰らえよ男児,nico.ms/sm28505453,－,うらたぬき・あほの坂田・n.k,－,nico.ms/sm28505145,n.k/ガラクト,〇,
2016/04/01,恋色に咲け,nico.ms/sm28548405,－,うらたぬき,－,nico.ms/sm28496031,HoneyWorks,〇,
2016/05/06,ハイドアンド・シーク,－,https://youtu.be/qBucblpW5t4?si=NQTsA9HmfGdE2pV2,うらたぬき,水希,nico.ms/sm24841816,19 -iku-,〇,
2016/06/02,チャンカパーナ,nico.ms/sm28969932,https://youtu.be/h68OwtqEbNo?si=MwPg01HzLmKPLY8F,浦島坂田船（うらたぬき・志麻・あほの坂田・センラ）,－,未投稿,NEWS（ジャニーズ）,〇,
2016/06/24,脱法ロック,nico.ms/sm29112249,https://youtu.be/HKstOh_RNv0?si=8fedN0GVt6y1KSJj,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm29081909,Neru,〇,
2016/07/02,恋色花火,nico.ms/sm29165644,https://youtu.be/XGA7d3cE70Y?si=ICqwsDrzdzCuwY8P,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,Sum,〇,浦島坂田船アルバム「Memory Log」収録曲
2016/07/22,すーぱーぬこになりたい,nico.ms/sm29298217,https://youtu.be/LRH-tKK7Hl8?si=2DYBjrReSNvd3lmE,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm28990642,まふまふ,〇,
2016/08/09,ないものねだり,nico.ms/sm29411809,https://youtu.be/ykNNEgKvk6g?si=J1vPYFCacNHpLesJ,うらたぬき,水希,youtu.be/UgS7vgquBvo?si=RnD-ipNQqEMfNaNp,KANA-BOON,〇,
2016/09/09,前前前世 arrange ver.,nico.ms/sm29613752,https://youtu.be/wRrSeeUJyuo?si=OjlbJsvHJUpQUhlZ,うらたぬき,水希,youtu.be/PDSkFeMVNFs?si=jWTItTMuB8m5V5ki,RADWIMPS,〇,
2016/10/07,夏祭り arrange ver.,nico.ms/sm29787874,https://youtu.be/o23EYkh1ujw?si=gqqYUJUjPBqIQTJz,浦島坂田船（うらたぬき・志麻・あほの坂田・センラ）,月森フユカ,youtu.be/BFvdvIFsvPg?si=MhhWllkY6Dp3MrPB,ジッタリン・ジン,〇,
2016/10/17,夢のまた夢,nico.ms/sm29853614,https://youtu.be/Yf4un7WkSpg?si=711qWeYezsvo7fnm,うらたぬき,－,nico.ms/sm29602449,まふまふ,〇,
2016/10/29,Crazy∞nighT,nico.ms/sm29931134,https://youtu.be/A3w0QXamI9g?si=-AT8ThVdbfGPd3m0,うらたぬき・あほの坂田・詩人・＿＿（アンダーバー）,－,nico.ms/sm18382294,ひとしずくP,〇,
2016/11/11,ぼうけんのしょがきえました！,nico.ms/sm30019771,https://youtu.be/Qg-reeBDlT8?si=llJY-5bmCP79RUc2,そらまふうらさか（そらる・まふまふ・うらたぬき・あほの坂田）,－,nico.ms/sm24909819,ワンオポ,〇,そらまふうらさか初コラボ
2016/12/02,罰ゲーム,nico.ms/sm30154005,https://youtu.be/c4NPoxSVqbs?si=tMSUDj8_HryPOp8L,うらたぬき,－,nico.ms/sm30129689,まふまふ,〇,
2016/12/20,恋arrange ver.,nico.ms/sm30260885,https://youtu.be/bmHgP4v7eD4?si=CoT1V6fbVXMxoueM,うらたぬき,水希,youtu.be/jhOVibLEDhA?si=E9hkRzuKDEW5sqrQ,星野源,〇,
2016/12/25,アイネクライネ-Acoustic Arrange-,nico.ms/sm30298699,https://youtu.be/VeXyc0gdESg?si=YsMYWk8rhafdY7nT,うらたぬき,－,nico.ms/sm23225630,米津玄師,〇,
2016/12/25,Snow melody,nico.ms/sm30299346,https://youtu.be/rzCPbAEDlSo?si=jzLDZ-wwpCUbQ3ZC,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,Sum,〇,
2017/01/05,ダンスロボットダンス,nico.ms/sm30373372,https://youtu.be/UmXpULieh8U?si=bvZDmp2IffyI3rg2,うらたぬき,－,nico.ms/sm30177801,ナユタン星人,〇,
2017/01/18,エイリアンエイリアン,nico.ms/sm30455447,https://youtu.be/nvfIBXDGWBA?si=3sFruOaLSdUCUjaA,うらたぬき・あほの坂田（うらさか）,宵野コタロー,nico.ms/sm28576299,ナユタン星人,〇,
2017/02/01,太陽系デスコ,nico.ms/sm30547397,https://youtu.be/v0KFClFvhw8?si=EFmD4aOAExbb2O0k,浦島坂田船（うらたぬき・志麻・あほの坂田・センラ）,－,nico.ms/sm30469574,ナユタン星人,〇,
2017/02/03,僕が名前を呼ぶ日,nico.ms/sm30559004,－,うらたぬき,－,nico.ms/sm30520518,HoneyWorks,〇,
2017/02/14,キッス〜帰り道のラブソング〜,nico.ms/sm30630422,https://youtu.be/mS4Edfr1mvY?si=1swVl9dBrMvLdWZ3,うらたぬき・まふまふ,茶々ごま,未投稿,テゴマス,〇,
2017/02/22,ねこがまるくなった,nico.ms/sm30690109,https://youtu.be/ygZ-nfURkHo?si=EwahXNGoef6FahY0,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm30421013,まふまふ,〇,
2017/02/26,ロメオ,nico.ms/sm30716010,https://youtu.be/EkHIk9i-1xM?si=cpopfQn0vs5I9Dy8,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm30675848,HoneyWorks,〇,
2017/03/18,雨とペトラ,nico.ms/sm30846015,https://youtu.be/7rm3LDUen-U?si=zMnWUQn__mk7Nwne,うらたぬき,－,nico.ms/sm30789907, バルーン,〇,
2017/04/10,彗星ハネムーン,nico.ms/sm31003531,https://youtu.be/qfgd3LwzF7w?si=FPPHmfssQQl0_Rss,うらたぬき,－,nico.ms/sm30978393,ナユタン星人,〇,
2017/04/28,花鳥風月,nico.ms/sm31108946,https://youtu.be/Stk3KmTVWOQ?si=87i-5tjWSuWPEe4n,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,まふまふ,〇,浦島坂田船シングル「SHOW MUST GO ON!!」収録曲
2017/05/15,ハンディキャップ,nico.ms/sm31219394,https://youtu.be/4Mk0-zxxx6I?si=zMqPxEQNj5YQx0A8,うらたぬき,－,nico.ms/sm31192842,まふまふ,〇,
2017/06/05,拝啓ドッペルゲンガー,nico.ms/sm31344318,https://youtu.be/Dg9hscpoPe8?si=hX0jC6bSM_8_p0Bg,うらたぬき・センラ（裏千家）,－,nico.ms/sm31314079,kemu,〇,
2017/06/30,君色に染まる,nico.ms/sm31486016,https://youtu.be/7e7mViEaEa4?si=nQZZ6BJmH-K7iSNe,うらたぬき,水希,nico.ms/sm27529228,西沢さんP,〇,
2017/07/05,Carry Forward,nico.ms/sm31515518,https://youtu.be/3yJgcUo1BiY?si=7jt2dRVYWcY1tLdr,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,halyosy,〇,浦島坂田船アルバム「Four the C」収録曲
2017/07/14,プリンセスに口づけを,nico.ms/sm31566981,https://youtu.be/svicA6KatX4?si=-9QEq2djGoVQSrpK,うらたぬき・となりの坂田（うらさか）,macco,オリジナル曲,HoneyWorks,〇,浦島坂田船アルバム「Four the C」収録曲
2017/08/09,レディーレ,nico.ms/sm31715264,https://youtu.be/UswjNZNfkk8?si=ATWov0y9j_dzw9az,うらたぬき,－,nico.ms/sm31394907,バルーン,〇,
2017/08/15,ヒバナ,nico.ms/sm31752299,https://youtu.be/GRFdvwaryqw?si=sv3H0qfkOneiA9WX,うらたぬき,－,nico.ms/sm31685272,DECO*27,〇,
2017/09/12,すきなことだけでいいです,nico.ms/sm31928142,https://youtu.be/AOZjYdoUV7w?si=M6XuZc6BSVBRDarl,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm28749432,ピノキオピー,〇,
2017/09/29,恋の魔法,nico.ms/sm32013655,https://youtu.be/d0fUfLF-R_Q?si=4fz2wFnv9NRI44_Q,うらたぬき,－,nico.ms/sm31279716,西沢さんP,〇,
2017/10/18,輪廻転生,nico.ms/sm32118935,https://youtu.be/HV3-Ft_wIHI?si=SvgHUVhs2gVqYcS0,うらたぬき,－,nico.ms/sm32010061,まふまふ,〇,
2017/10/20,ハロウ！ゴーストシップ,nico.ms/sm32127872,https://youtu.be/1W37ClhyS-c?si=WoVlB2P-eN5jxcYI,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,ナユタン星人,〇,
2017/12/02,ロールプレイングゲーム,nico.ms/sm32355422,https://youtu.be/E286KqzpkKw?si=bKvNFnL-d0MJVqIU,そらまふうらさか（そらる・まふまふ・うらたぬき・あほの坂田）,りゅうせー,オリジナル曲,まふまふ,〇,そらまふうらさか初オリジナル曲
2017/12/03,ノンファンタジー,nico.ms/sm32362261,https://youtu.be/jbunbiQOTDc?si=IERv4wKFNWKUljo4,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm32350016,HoneyWorks,〇,
2017/12/15,シャルル,nico.ms/sm32424568,https://youtu.be/JOzFVwvI6e8?si=z7ynulw0vEMElE9C,うらたぬき,－,nico.ms/sm29822304,バルーン,〇,
2017/12/23,砂の惑星,nico.ms/sm32464376,https://youtu.be/23Bi-d_6hFs?si=o_WHlSxVghtx0SWp,うらたぬき・志麻,－,nico.ms/sm31606995,ハチ,〇,うらしま初コラボ
2018/01/05,テオ,nico.ms/sm32536454,https://youtu.be/nqtN-3UjDPo?si=-9rXjSxU_6I61Cj3,うらたぬき,－,nico.ms/sm31533883,Omoi,〇,
2018/02/04,リバーシブルキャンペーン,nico.ms/sm32686425,https://youtu.be/SNDOSHw8bm8?si=PcxcBVcI4dqGASHV,うらたぬき,－,nico.ms/sm29654974,DECO*27,〇,
2018/02/10,ドラマツルギー,nico.ms/sm32714570,https://youtu.be/-munGhLLyqY?si=MMRYSpRB9x1Kj2ma,うらたぬき,－,nico.ms/sm32076378,Eve,〇,
2018/02/14,はやくそれになりたい！,nico.ms/sm32738337,https://youtu.be/LOmOEKHSOjk?si=pdPhpiZRnfvyML7r,うらたぬき・あほの坂田・詩人（うらさか詩人）,くすのき,nico.ms/sm31192903,キノシタ,〇,
2018/02/23,そらに、ひらり,nico.ms/sm32783170,https://youtu.be/-OtyN0kXtBc?si=aVkBS4yWw2nItjCm,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,ハヤシケイ,〇,浦島坂田船アルバム「V-enus」収録曲
2018/03/09,明星ギャラクティカ,nico.ms/sm32856669,https://youtu.be/MEDZ2KvJ6h0?si=c-fqkeWrcP2ur2N6,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,－,nico.ms/sm32769089,ナユタン星人,〇,
2018/03/19,年に一夜の恋模様,nico.ms/sm32909966,https://youtu.be/SCuP_XV2TGE?si=4M5Fq53pWC3fiLMV,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,まふまふ,〇,浦島坂田船アルバム「V-enus」収録曲
2018/03/31,チュルリラ・チュルリラ・ダッダッダ！,nico.ms/sm32972686,https://youtu.be/cmkSuR7XT5w?si=k6LsZG8UsK6HdoJp,うらたぬき feat.浦島坂田船,－,nico.ms/sm28276238,和田たけあき,〇,
2018/04/04,ロキ,nico.ms/sm33000077,,ぷすfeat.うらたぬき,－,nico.ms/sm32798041,みきとP,〇,
2018/04/07,ぽこぽこたぬきとぷすうさぎ,nico.ms/sm33011161,https://youtu.be/m-snOuvZB5M?si=s3lWcsydQyfl2B6x,うらたぬき・ぷす,れい,オリジナル曲,ぷす,〇,
2018/04/09,ロキ,nico.ms/sm33026378,https://youtu.be/_5Jq6MiqZ-w?si=DchLPb0q5OGh5NKt,うらたぬき・センラ（裏千家）,－,nico.ms/sm32798041,みきとP,〇,
2018/04/13,アウトサイダー,nico.ms/sm33044418,https://youtu.be/723xabIR8pM?si=QxbeRz9HZ7mqO_IF,うらたぬき,－,nico.ms/sm33009959,Eve,〇,
2018/04/21,私、アイドル宣言,nico.ms/sm33083036,https://youtu.be/K8Z-ODJckfo?si=UEkp9CMJrVck51H4,天月-あまつき-・うらたぬき,椿つばる,nico.ms/sm32825363,HoneyWorks,〇,うらつき初コラボ
2018/05/02,惑星ループ,nico.ms/sm33142396,https://youtu.be/xcw0wf_QbIs?si=t2B9CvhtZdROVz9n,うらたぬき,八三,nico.ms/sm29910955,ナユタン星人,〇,
2018/05/17,恋をしよう,nico.ms/sm33222069,https://youtu.be/dYrAbN2n1Fc?si=T80klosx7zeEXy8a,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm33208410,HoneyWorks,〇,
2018/06/11,Peacock Epoch,nico.ms/sm33349141,https://youtu.be/3_r9KsfdgpU?si=hnQ9oPp05QoDhmnF,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,八三,オリジナル曲,halyosy,〇,浦島坂田船アルバム「V-enus」収録曲
2018/06/15,メリーバッドエンド,nico.ms/sm33366786,https://youtu.be/adh_w5coKD0?si=lDV0NrB4OlVHT0Ew,うらたぬき・志麻,－,nico.ms/sm32673722,まふまふ（鏡見て失神P）,〇,
2018/06/22,WAA!!!!,nico.ms/sm33404092,https://youtu.be/pXipsOb-br8?si=q1lw5lirMpHum3V6,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm33304576,Omoi,〇,
2018/07/10,Starry Cruise,nico.ms/sm33503425,https://youtu.be/SgaN6UOJvvA?si=5LhG1BdHf2yjc_T5,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,ハヤシケイ,〇,浦島坂田船アルバム「V-enus」収録曲
2018/07/21,グリーンライツ・セレナーデ,nico.ms/sm33560852,https://youtu.be/LyjXlcOquPs?si=SJylyDY1wjYm9bVo,うらたぬき,－,nico.ms/sm33480697,Omoi,〇,
2018/07/23,ユメミドリ,nico.ms/sm33574062,https://youtu.be/M1p5Ne9jJsY?si=BaAUcKwabwgHDaGG,うらたぬき・となりの坂田（うらさか）,macco,オリジナル曲,BACK-ON,〇,浦島坂田船アルバム「V-enus」収録曲
2018/07/29,SAILING!!!!!,nico.ms/sm33602871,https://youtu.be/RIyuSydISS8?si=cz0_ZQZ3w8ITYpHb,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,halyosy,〇,
2018/07/30,ハイヒール・プリンセス,nico.ms/sm33605144,https://youtu.be/BEMZkulTv3c?si=aJkU97hgxJB5K6qY,うらたぬき,水希,オリジナル曲,ナナホシ管弦楽団,〇,うらたぬきソロアルバム「GreedyWorld」収録曲
2018/08/09,Pink,nico.ms/sm33659046,https://youtu.be/VYhpycHvrT8?si=03B14txqdWg0Uj40,うらたぬき,RAHWIA,オリジナル曲,ぷす,〇,うらたぬきソロアルバム「GreedyWorld」収録曲
2018/08/31,だれかの心臓になれたなら,nico.ms/sm33780659,https://youtu.be/3DEeppS8MvU?si=DdrLgyQplNQ2jQpH,うらたぬき,－,nico.ms/sm32727744,ユリイ・カノン,〇,
2018/09/07,廃墟の国のアリス,nico.ms/sm33817175,https://youtu.be/7LGo5-14FEY?si=RZFecbeQrQ1U_z6J,うらたぬき,－,nico.ms/sm33715008,まふまふ（鏡見て失神P）,〇,
2018/09/22,かいしんのいちげき！,nico.ms/sm33899437,https://youtu.be/t50dedNXwRk?si=cjrGK1UyJFdeHI5s,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm33546188,天月-あまつき-,〇,
2018/10/07,君が飛び降りるのならば,nico.ms/sm33980207,https://youtu.be/jbUxqSE0zCQ?si=OU0VU20xsdRFHr1L,うらたぬき,－,nico.ms/sm32358510,Omoi,〇,
2018/10/09,夢ファンファーレ,nico.ms/sm33991936,https://youtu.be/24R9YvFKXHo?si=26_P4Sg_N_ZsVmAI,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm33978206,HoneyWorks,〇,
2018/10/18,永眠童話,nico.ms/sm34036865,https://youtu.be/yKBkQG2Cgjs?si=Nu58SUEnijxt3haY,うらたぬき,－,nico.ms/sm22765167,まふまふ,〇,
2018/10/23,グリムメイカー,nico.ms/sm34061910,https://youtu.be/sqcuIOwV5gU?si=RpeHedF_P6aTqImF,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,Junky mylist,〇,
2018/11/02,愛言葉Ⅲ,nico.ms/sm34111967,https://youtu.be/xJRp9X-YUOw?si=B-gA1FT32f0NX_ol,うらたぬき,－,nico.ms/sm33965071,DECO*27,〇,
2018/11/09,乱躁滅裂ガール,nico.ms/sm34146815j,https://youtu.be/9Lf44-1r5Jo?si=Y7BUZTHEcoZ9r4zU,うらたぬき,－,nico.ms/sm29782999,れるりり,〇,
2018/11/16,エフピーエス,nico.ms/sm34179219,https://youtu.be/zLnup1gskzU?si=TYn3MqyLgP-K_sxV,そらまふうらさか（そらる・まふまふ・うらたぬき・あほの坂田）,八三,オリジナル曲,まふまふ,〇,
2018/11/18,小さなライオン,nico.ms/sm34190435,https://youtu.be/-jt06aBdj-U?si=WpjctyAAcTOOyWmL,うらたぬき・あほの坂田 feat.志麻センラ,－,nico.ms/sm34102348,HoneyWorks,〇,
2018/12/02,ジグソーパズル,nico.ms/sm34256516,https://youtu.be/63_Ae5L3Ctk?si=Mu0YQ11lwBLkp2zp,うらたぬき,－,nico.ms/sm34214810,まふまふ（鏡見て失神P）,〇,
2018/12/07,ミスリード・ミスリード,nico.ms/sm34280591,https://youtu.be/XzHr0qSanMQ?si=hyqPl0jie7Qs-glq,うらたぬき,－,nico.ms/sm34111863,Omoi,〇,
2018/12/21,リコレクションエンドロウル,nico.ms/sm34351020,https://youtu.be/vSOq6_d95Bk?si=_8Fax2ACPajqPmO_,うらたぬき・センラ（裏千家）,－,nico.ms/sm33477835,ツミキ,〇,
2018/12/30,フィクサー,nico.ms/sm34400337,https://youtu.be/fAjzZpPooHA?si=K0ZDeB7o-UEwsXa3,うらたぬき,－,nico.ms/sm30868619,ぬゆり,〇,
2019/01/01,フィアンセ,nico.ms/sm34411470,https://youtu.be/ip3aPzWGU5c?si=_C01zxYDWyNMlg2l,うらたぬき・あほの坂田（うらさか）,桐谷,オリジナル曲,HoneyWorks,〇,
2019/01/18,愛してる,nico.ms/sm34492111,https://youtu.be/1Devx6SybTo?si=69M-z9p3w5sd-dVN,うらたぬき,－,nico.ms/sm19963970,れるりり,〇,
2019/02/08,Mermaid,nico.ms/sm34592416,https://youtu.be/mSWdVkPmbSQ?si=N6Gp0RhTzr8-S4Sc,うらたぬき,八三,nico.ms/sm31365823,buzzG,〇,
2019/02/15,やっぱ最強！,nico.ms/sm34635369,https://youtu.be/T1Qn96rcFaE?si=iopfc1GTor0Fs4Uh,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm34472055,HoneyWorks,〇,
2019/03/01,誠-Live for Justice-,nico.ms/sm34710654,https://youtu.be/GTQUJ8pcTeA?si=PUtEP8KCRgrtmN9Y,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,月森フユカ,オリジナル曲,前山田健一,〇,浦島坂田船アルバム「$HUFFLE」収録曲
2019/03/07,合戦,nico.ms/sm34737518,https://youtu.be/N1qXZXUFSxM?si=K7PYggrH4Yj1lpg2,浦島坂田船（うらたぬき・志麻・となりの坂田・センラ）,緋いろ,オリジナル曲,HoneyWorks,〇,浦島坂田船シングル「明日へのBye Bye」収録曲
